Post_ID,Platform,Campaign_Name,Post_Date,Impressions,Reach,Engagement,Conversions
P-1068,Instagram,Influencer Collab,2026-01-17,15334,8851,425,18
P-1069,Instagram,Influencer Collab,2026-02-01,15186,8986,236,10
P-1070,Facebook,Holiday Deal,2026-02-20,16568,9199,1034,23
P-1071,Facebook,Holiday Deal,2026-03-05,9339,6607,397,5
P-1072,Twitter,Product Demo,2026-02-23,5156,2862,154,2
P-1073,Facebook,Product Demo,2026-01-28,12780,8447,900,12
P-1074,LinkedIn,Product Demo,2026-02-16,17181,13239,574,12
P-1075,Instagram,Brand Launch,2026-01-03,16467,9698,1087,26
P-1076,Twitter,Holiday Deal,2026-02-10,8115,6221,197,3
P-1077,Twitter,Brand Launch,2026-02-13,8891,4466,485,13
P-1078,Twitter,Summer Sale,2026-01-18,17669,10950,1271,46
P-1079,Instagram,Brand Launch,2026-01-21,13885,7130,162,5
P-1080,Instagram,Brand Launch,2026-03-04,24363,15454,1731,43
P-1081,LinkedIn,Summer Sale,2026-02-12,2549,1280,84,2
P-1082,Twitter,Brand Launch,2026-01-29,23500,15491,1631,22
P-1083,Facebook,Influencer Collab,2026-01-30,5412,3820,117,1
P-1084,Facebook,Brand Launch,2026-02-28,4035,2479,185,7
P-1085,Facebook,Holiday Deal,2026-03-04,2282,1479,108,3
P-1086,Facebook,Holiday Deal,2026-02-06,3221,2329,74,2
P-1087,Facebook,Holiday Deal,2026-02-19,13290,9096,909,12
P-1088,Instagram,Influencer Collab,2026-01-08,6072,3324,379,14
P-1089,Facebook,Product Demo,2026-02-26,8152,4222,504,12
P-1090,Instagram,Influencer Collab,2026-01-26,11556,8841,1017,22
P-1091,Twitter,Brand Launch,2026-03-12,6607,4817,268,6
P-1092,Facebook,Product Demo,2026-01-23,14543,9413,1062,39
P-1093,Facebook,Brand Launch,2026-01-03,17192,13132,1272,50
P-1094,Instagram,Product Demo,2026-01-30,24891,15015,1353,19
P-1095,Facebook,Holiday Deal,2026-03-07,13217,8311,773,35
P-1096,Instagram,Product Demo,2026-01-06,4521,2852,181,7
P-1097,Facebook,Summer Sale,2026-01-28,20173,11614,964,29
P-1098,Instagram,Holiday Deal,2026-01-07,22052,12640,265,7
P-1099,LinkedIn,Influencer Collab,2026-03-15,20307,12119,647,11
P-1100,LinkedIn,Holiday Deal,2026-03-15,4367,3044,233,9
P-1101,Instagram,Influencer Collab,2026-01-09,23204,14715,1449,24
P-1102,Instagram,Brand Launch,2026-02-08,20841,16237,360,7
P-1103,LinkedIn,Summer Sale,2026-01-18,15660,10171,1053,35
P-1104,Twitter,Holiday Deal,2026-01-14,13603,8714,542,17
P-1105,Twitter,Holiday Deal,2026-01-25,3741,2745,157,1
P-1106,Facebook,Summer Sale,2026-02-24,17070,11293,508,23
P-1107,Facebook,Summer Sale,2026-01-29,3894,2929,181,3
P-1108,LinkedIn,Product Demo,2026-02-14,9262,6304,166,6
P-1109,Facebook,Summer Sale,2026-02-04,14343,7977,536,25
P-1110,Instagram,Influencer Collab,2026-02-02,10179,5141,510,10
P-1111,Facebook,Brand Launch,2026-03-08,10998,5917,513,7
P-1112,Twitter,Product Demo,2026-03-04,10583,6683,439,11
P-1113,Facebook,Influencer Collab,2026-03-11,4415,2455,262,13
P-1114,Instagram,Holiday Deal,2026-03-03,6318,4500,370,5
P-1115,LinkedIn,Summer Sale,2026-02-25,5983,3226,220,10
P-1116,Instagram,Brand Launch,2026-02-09,8528,4570,218,10
P-1117,Twitter,Brand Launch,2026-01-09,21016,15489,1575,39
P-1118,Instagram,Product Demo,2026-02-09,20301,11157,532,18
P-1119,Instagram,Summer Sale,2026-02-05,16962,10005,1155,34
P-1120,Instagram,Summer Sale,2026-01-02,6203,3326,113,1
P-1121,Twitter,Summer Sale,2026-02-14,3549,1960,53,2
P-1122,LinkedIn,Brand Launch,2026-03-15,10868,8440,474,12
P-1123,LinkedIn,Summer Sale,2026-01-07,4990,2596,86,1
P-1124,LinkedIn,Product Demo,2026-01-13,9216,7032,269,11
P-1125,Twitter,Holiday Deal,2026-01-24,18866,14628,504,13
P-1126,Instagram,Holiday Deal,2026-01-10,3615,2148,69,2
P-1127,Twitter,Holiday Deal,2026-02-28,19279,10092,503,14
P-1128,LinkedIn,Holiday Deal,2026-03-06,11780,8651,714,32
P-1129,Facebook,Product Demo,2026-03-02,9373,7069,842,19
P-1130,LinkedIn,Product Demo,2026-01-16,2320,1169,74,2
P-1131,Instagram,Holiday Deal,2026-02-03,19644,10466,1143,49
P-1132,Twitter,Influencer Collab,2026-01-25,8973,5479,461,13
P-1133,Instagram,Summer Sale,2026-02-05,18615,12833,1236,31
P-1134,Twitter,Influencer Collab,2026-01-24,14969,11551,1243,39
P-1135,LinkedIn,Product Demo,2026-01-17,2688,1357,136,2
P-1136,Facebook,Summer Sale,2026-02-18,11483,6466,321,13
P-1137,Facebook,Summer Sale,2026-01-31,5123,3311,330,11
P-1138,Instagram,Brand Launch,2026-02-03,2700,2118,232,5
P-1139,Twitter,Brand Launch,2026-01-31,12545,6407,363,5
P-1140,Twitter,Brand Launch,2026-01-08,3990,3140,76,2
P-1141,Twitter,Brand Launch,2026-02-08,4929,2629,304,3
P-1142,Twitter,Product Demo,2026-01-07,17634,11163,1178,15
P-1143,Twitter,Influencer Collab,2026-03-06,21800,12903,639,22
P-1144,Instagram,Summer Sale,2026-01-14,15400,7877,224,8
P-1145,Instagram,Brand Launch,2026-01-13,20865,14777,324,10
P-1146,LinkedIn,Summer Sale,2026-02-20,23843,14693,1302,13
P-1147,Instagram,Holiday Deal,2026-02-20,17454,10213,813,38
P-1148,Instagram,Product Demo,2026-03-10,19453,12087,703,16
P-1149,Twitter,Summer Sale,2026-01-21,16105,10081,783,20
P-1150,Facebook,Brand Launch,2026-03-14,15597,9348,533,17
P-1151,Instagram,Summer Sale,2026-01-22,4180,3334,266,13
P-1152,LinkedIn,Influencer Collab,2026-03-09,6236,3155,246,8
P-1153,Facebook,Brand Launch,2026-01-22,2693,2017,214,2
P-1154,Facebook,Holiday Deal,2026-01-07,12162,6858,516,25
P-1155,Instagram,Summer Sale,2026-03-05,15692,10219,776,22
P-1156,Facebook,Influencer Collab,2026-02-18,5759,3504,175,3
P-1157,Twitter,Summer Sale,2026-03-14,11077,6116,517,23
P-1158,Facebook,Summer Sale,2026-02-21,10857,7721,429,4
P-1159,LinkedIn,Brand Launch,2026-03-03,19464,13676,305,10
P-1160,Twitter,Influencer Collab,2026-02-14,5562,4124,485,18
P-1161,Twitter,Summer Sale,2026-01-22,21455,13179,851,9
P-1162,Twitter,Influencer Collab,2026-02-16,21704,13613,592,6
P-1163,Facebook,Holiday Deal,2026-02-01,6214,3478,278,3
P-1164,LinkedIn,Holiday Deal,2026-02-17,14898,11406,1210,35
P-1165,Twitter,Holiday Deal,2026-01-16,7816,4907,98,3
P-1166,LinkedIn,Summer Sale,2026-02-10,12832,9347,676,28
P-1167,LinkedIn,Brand Launch,2026-01-27,5444,3353,320,3
P-1168,Facebook,Holiday Deal,2026-01-10,10741,6565,678,14
P-1169,LinkedIn,Influencer Collab,2026-01-13,7512,4617,121,2
P-1170,Twitter,Holiday Deal,2026-01-20,4550,3015,63,0
P-1171,Instagram,Brand Launch,2026-03-03,2962,2367,166,3
P-1172,Instagram,Summer Sale,2026-02-17,16621,11101,342,10
P-1173,LinkedIn,Influencer Collab,2026-03-09,24376,17896,683,32
P-1174,Instagram,Summer Sale,2026-01-13,6658,3754,410,7
P-1175,Twitter,Influencer Collab,2026-03-08,3751,2331,235,3
P-1176,Twitter,Holiday Deal,2026-02-28,21032,10950,244,8
P-1177,Facebook,Brand Launch,2026-02-13,4257,2438,85,3
P-1178,Twitter,Summer Sale,2026-01-12,4456,2507,131,3
P-1179,LinkedIn,Summer Sale,2026-02-21,9253,5659,156,3
P-1180,LinkedIn,Brand Launch,2026-02-01,24996,12662,355,12
P-1181,LinkedIn,Product Demo,2026-01-13,17898,12958,851,42
P-1182,Facebook,Influencer Collab,2026-02-06,21739,13327,751,32
P-1183,LinkedIn,Product Demo,2026-01-09,24986,16583,881,35
P-1184,Facebook,Brand Launch,2026-02-18,15368,8807,678,17
P-1185,Instagram,Influencer Collab,2026-01-30,13640,9316,482,19
P-1186,Twitter,Summer Sale,2026-03-08,9544,7257,195,2
P-1187,Twitter,Holiday Deal,2026-02-06,19273,14015,1578,24
P-1188,Twitter,Brand Launch,2026-02-20,18749,10501,364,10
P-1189,Facebook,Summer Sale,2026-02-03,23252,16668,826,40
P-1190,Instagram,Product Demo,2026-01-05,9640,4823,455,7
P-1191,Instagram,Holiday Deal,2026-01-18,12328,7977,649,19
P-1192,Facebook,Holiday Deal,2026-02-14,6495,4356,394,6
P-1193,Instagram,Holiday Deal,2026-01-03,6458,4993,536,16
P-1194,Instagram,Brand Launch,2026-01-11,8509,4837,394,5
P-1195,Facebook,Holiday Deal,2026-03-06,22997,16824,1496,41
P-1196,LinkedIn,Holiday Deal,2026-01-21,23279,17820,466,9
P-1197,LinkedIn,Product Demo,2026-01-13,13465,9722,521,5
P-1198,Twitter,Brand Launch,2026-01-14,10452,6497,679,33
P-1199,Twitter,Brand Launch,2026-02-28,20399,13805,294,13
P-1200,LinkedIn,Holiday Deal,2026-01-23,23437,17342,1148,20
P-1201,Instagram,Influencer Collab,2026-02-25,23337,15142,935,32
P-1202,Facebook,Influencer Collab,2026-03-03,11559,9135,204,4
P-1203,Twitter,Holiday Deal,2026-02-13,7372,4195,159,6
P-1204,Twitter,Summer Sale,2026-01-20,17910,11176,396,9
P-1205,Twitter,Holiday Deal,2026-01-16,13325,7516,602,25
P-1206,Facebook,Influencer Collab,2026-02-03,20618,16378,1842,56
P-1207,Facebook,Influencer Collab,2026-03-10,14427,7464,535,13
P-1208,LinkedIn,Summer Sale,2026-02-08,19890,14573,987,35
P-1209,Instagram,Brand Launch,2026-01-29,21770,13481,1379,20
P-1210,LinkedIn,Summer Sale,2026-01-17,4323,2214,238,9
P-1211,LinkedIn,Influencer Collab,2026-01-13,9761,7203,144,7
P-1212,LinkedIn,Holiday Deal,2026-02-10,22192,12529,856,13
P-1213,Twitter,Influencer Collab,2026-03-11,7037,4285,308,7
P-1214,Facebook,Holiday Deal,2026-01-10,21415,12251,865,19
P-1215,Instagram,Holiday Deal,2026-03-06,24974,14555,297,13
P-1216,Twitter,Brand Launch,2026-01-22,23928,15325,1408,16
P-1217,LinkedIn,Holiday Deal,2026-01-31,16705,8535,969,33
P-1218,LinkedIn,Product Demo,2026-02-13,2149,1274,49,1
P-1219,Facebook,Brand Launch,2026-03-14,8477,6759,139,5
P-1220,Facebook,Holiday Deal,2026-02-06,7192,4189,193,5
P-1221,Twitter,Influencer Collab,2026-03-07,16063,10142,348,17
P-1222,Facebook,Holiday Deal,2026-01-30,24158,15292,883,30
P-1223,Twitter,Product Demo,2026-03-04,5536,4134,337,4
P-1224,Twitter,Summer Sale,2026-01-29,22412,15763,507,16
P-1225,Instagram,Holiday Deal,2026-02-06,13485,10289,867,41
P-1226,LinkedIn,Holiday Deal,2026-02-25,13712,7155,334,6
P-1227,LinkedIn,Holiday Deal,2026-02-18,4281,3361,78,2
P-1228,Twitter,Summer Sale,2026-01-02,23050,15091,1635,44
P-1229,LinkedIn,Summer Sale,2026-03-15,8869,5033,470,21
P-1230,Twitter,Brand Launch,2026-02-16,9531,5573,268,10
P-1231,LinkedIn,Brand Launch,2026-03-14,7675,5377,108,2
P-1232,Instagram,Brand Launch,2026-01-29,24502,15189,414,16
P-1233,LinkedIn,Brand Launch,2026-01-06,4342,3304,77,2
P-1234,Facebook,Holiday Deal,2026-01-12,10307,5947,229,9
P-1235,LinkedIn,Brand Launch,2026-03-14,2362,1603,33,0
P-1236,Twitter,Influencer Collab,2026-02-19,9306,5790,378,11
P-1237,LinkedIn,Holiday Deal,2026-02-21,11672,6070,157,3
P-1238,LinkedIn,Summer Sale,2026-02-08,4332,2389,154,2
P-1239,Facebook,Influencer Collab,2026-03-08,17142,13249,1391,54
P-1240,LinkedIn,Summer Sale,2026-02-13,7069,3672,357,12
P-1241,LinkedIn,Brand Launch,2026-01-11,12543,9681,769,35
P-1242,Instagram,Summer Sale,2026-02-13,15807,8854,663,16
P-1243,Facebook,Holiday Deal,2026-01-29,21627,17171,1013,17
P-1244,Instagram,Product Demo,2026-01-26,11446,8075,609,12
P-1245,LinkedIn,Influencer Collab,2026-01-28,10563,5581,233,8
P-1246,LinkedIn,Brand Launch,2026-03-11,7799,5457,521,15
P-1247,LinkedIn,Holiday Deal,2026-02-15,8000,5129,292,13
P-1248,Facebook,Influencer Collab,2026-01-20,8603,6360,230,10
P-1249,Facebook,Influencer Collab,2026-03-02,3614,2608,262,10
P-1250,LinkedIn,Holiday Deal,2026-01-14,5041,3042,354,14
P-1251,Facebook,Summer Sale,2026-02-01,13695,10297,954,36
P-1252,Facebook,Product Demo,2026-02-10,18648,13126,1462,53
P-1253,LinkedIn,Brand Launch,2026-03-12,12983,8123,745,11
P-1254,LinkedIn,Influencer Collab,2026-01-04,19724,15622,656,13
P-1255,LinkedIn,Influencer Collab,2026-01-11,5049,3324,122,3
P-1256,LinkedIn,Brand Launch,2026-01-27,3896,2318,157,7
P-1257,LinkedIn,Influencer Collab,2026-01-09,16700,8792,634,12
P-1258,Facebook,Summer Sale,2026-02-05,12332,8283,770,26
P-1259,Twitter,Holiday Deal,2026-02-11,18367,12722,778,33
P-1260,Facebook,Brand Launch,2026-02-03,2833,1770,119,1
P-1261,Twitter,Holiday Deal,2026-02-11,2786,1836,189,5
P-1262,LinkedIn,Brand Launch,2026-01-01,5084,3278,129,2
P-1263,LinkedIn,Holiday Deal,2026-03-02,18742,13511,443,13
P-1264,Facebook,Holiday Deal,2026-03-15,2573,1605,127,1
P-1265,LinkedIn,Influencer Collab,2026-02-02,6918,4644,219,5
P-1266,Twitter,Brand Launch,2026-01-26,23732,12558,1355,63
P-1267,LinkedIn,Holiday Deal,2026-02-10,3893,2372,178,6
P-1268,Facebook,Holiday Deal,2026-01-30,9680,6265,616,8
P-1269,Twitter,Product Demo,2026-01-20,13152,9005,781,13
P-1270,LinkedIn,Influencer Collab,2026-01-31,17440,10295,701,15
P-1271,Facebook,Product Demo,2026-02-08,11793,9047,446,17
P-1272,Instagram,Influencer Collab,2026-03-08,13744,10696,476,20
P-1273,Instagram,Summer Sale,2026-01-06,8135,5806,159,6
P-1274,Facebook,Influencer Collab,2026-02-08,21280,14642,849,20
P-1275,Instagram,Holiday Deal,2026-01-04,7752,5370,136,5
P-1276,Instagram,Summer Sale,2026-02-16,7165,5188,572,22
P-1277,LinkedIn,Influencer Collab,2026-02-09,6532,4411,175,1
P-1278,Facebook,Brand Launch,2026-01-15,10083,7903,885,39
P-1279,Twitter,Brand Launch,2026-02-17,19534,10377,659,29
P-1280,Instagram,Summer Sale,2026-01-17,23874,14384,353,16
P-1281,Instagram,Holiday Deal,2026-01-30,22688,11526,541,12
P-1282,Facebook,Holiday Deal,2026-02-26,19917,13490,526,26
P-1283,LinkedIn,Brand Launch,2026-01-11,2305,1156,120,2
P-1284,Instagram,Influencer Collab,2026-01-27,10791,5884,332,6
P-1285,LinkedIn,Brand Launch,2026-01-07,13700,6905,427,19
P-1286,Facebook,Summer Sale,2026-02-14,13837,8145,463,17
P-1287,Twitter,Summer Sale,2026-01-29,22423,11679,1173,29
P-1288,Instagram,Summer Sale,2026-03-01,4133,2567,188,8
P-1289,Twitter,Holiday Deal,2026-02-05,20307,10904,350,3
P-1290,LinkedIn,Holiday Deal,2026-02-05,24596,12897,1089,53
P-1291,Twitter,Holiday Deal,2026-02-01,24255,12629,410,7
P-1292,Twitter,Brand Launch,2026-01-01,20002,11992,531,15
P-1293,Facebook,Product Demo,2026-01-11,11675,7185,285,9
P-1294,Facebook,Summer Sale,2026-02-14,22202,14947,1110,46
P-1295,Facebook,Influencer Collab,2026-03-15,17256,13758,1196,56
P-1296,Twitter,Brand Launch,2026-01-30,22162,17117,664,10
P-1297,LinkedIn,Summer Sale,2026-03-14,4672,3007,60,2
P-1298,LinkedIn,Product Demo,2026-02-15,7529,4322,184,3
P-1299,Instagram,Product Demo,2026-02-23,24031,14362,905,24
P-1300,Facebook,Influencer Collab,2026-02-01,22549,11564,560,14
P-1301,LinkedIn,Influencer Collab,2026-01-25,16854,12811,886,36
P-1302,LinkedIn,Influencer Collab,2026-01-15,22504,12308,902,24
P-1303,Twitter,Influencer Collab,2026-03-12,9730,5918,455,21
P-1304,Twitter,Product Demo,2026-02-12,2564,1842,117,1
P-1305,Facebook,Brand Launch,2026-01-02,4018,2417,284,6
P-1306,Twitter,Brand Launch,2026-01-17,17992,9264,973,15
P-1307,Instagram,Holiday Deal,2026-02-09,21244,15839,1823,49
P-1308,Twitter,Summer Sale,2026-01-25,4846,3032,305,10
P-1309,Instagram,Brand Launch,2026-01-20,18020,9660,229,8
P-1310,LinkedIn,Summer Sale,2026-02-12,17729,12107,1208,33
P-1311,Facebook,Holiday Deal,2026-01-04,24347,15866,894,17
P-1312,LinkedIn,Holiday Deal,2026-03-05,21079,12805,405,8
P-1313,Instagram,Product Demo,2026-01-07,21643,12228,720,25
P-1314,Facebook,Summer Sale,2026-01-24,17509,8829,674,11
P-1315,Twitter,Summer Sale,2026-03-15,19607,15083,1290,20
P-1316,Twitter,Holiday Deal,2026-01-29,19210,9932,955,30
P-1317,Facebook,Product Demo,2026-02-10,15384,11299,1140,31
P-1318,Instagram,Influencer Collab,2026-03-14,24319,12476,710,21
P-1319,LinkedIn,Brand Launch,2026-01-24,24865,14438,1508,73
P-1320,Twitter,Brand Launch,2026-02-23,7478,4551,355,3
P-1321,LinkedIn,Brand Launch,2026-02-18,12305,9421,781,15
P-1322,LinkedIn,Holiday Deal,2026-02-04,7097,3801,308,7
P-1323,Instagram,Influencer Collab,2026-03-11,4031,2158,150,1
P-1324,Twitter,Influencer Collab,2026-01-26,18159,13811,844,33
P-1325,Instagram,Influencer Collab,2026-02-24,10377,7927,758,28
P-1326,Twitter,Summer Sale,2026-01-11,19201,9757,457,13
P-1327,Instagram,Summer Sale,2026-02-25,11629,6621,222,9
P-1328,Twitter,Brand Launch,2026-02-03,13636,9219,409,5
P-1329,LinkedIn,Influencer Collab,2026-01-20,19612,9844,961,31
P-1330,Facebook,Influencer Collab,2026-01-12,7090,4315,221,7
P-1331,Twitter,Product Demo,2026-02-22,21654,15277,598,18
P-1332,Facebook,Summer Sale,2026-01-11,12738,6759,468,20
P-1333,Instagram,Summer Sale,2026-03-02,15348,11872,1372,43
P-1334,Facebook,Summer Sale,2026-02-25,17749,10757,331,6
P-1335,Facebook,Holiday Deal,2026-01-16,23484,18643,1931,20
P-1336,Instagram,Product Demo,2026-02-26,13694,7607,798,14
P-1337,Twitter,Brand Launch,2026-03-10,15475,7769,641,20
P-1338,LinkedIn,Product Demo,2026-01-05,3855,2191,133,2
P-1339,Instagram,Summer Sale,2026-01-15,15879,11969,1037,48
P-1340,Twitter,Brand Launch,2026-01-21,22312,12739,1439,32
P-1341,Twitter,Summer Sale,2026-02-17,4752,2649,137,2
P-1342,Instagram,Influencer Collab,2026-03-10,5919,3927,454,15
P-1343,LinkedIn,Holiday Deal,2026-01-01,18599,14473,1232,24
P-1344,Twitter,Product Demo,2026-02-26,2276,1239,106,3
P-1345,Twitter,Summer Sale,2026-03-09,10492,6624,704,13
P-1346,Instagram,Summer Sale,2026-02-03,19917,12173,1349,17
P-1347,Twitter,Summer Sale,2026-02-08,8262,4312,120,3
P-1348,Instagram,Product Demo,2026-03-03,14979,8110,941,40
P-1349,Facebook,Product Demo,2026-02-17,22198,16978,673,24
P-1350,LinkedIn,Brand Launch,2026-03-14,2040,1021,27,0
P-1351,Twitter,Holiday Deal,2026-03-04,11104,8721,532,8
P-1352,Twitter,Holiday Deal,2026-03-03,6312,4774,194,9
P-1353,Instagram,Product Demo,2026-03-09,19150,9855,629,10
P-1354,Facebook,Brand Launch,2026-02-08,16927,12039,1139,35
P-1355,Facebook,Product Demo,2026-02-11,5964,4546,260,4
P-1356,Instagram,Brand Launch,2026-01-24,13660,7629,907,38
P-1357,Instagram,Holiday Deal,2026-03-09,16590,12456,545,9
P-1358,Twitter,Product Demo,2026-03-02,10395,7596,538,16
P-1359,LinkedIn,Holiday Deal,2026-03-01,22985,15867,1607,20
P-1360,Facebook,Product Demo,2026-02-26,4755,2675,68,2
P-1361,LinkedIn,Brand Launch,2026-03-10,6290,3843,147,3
P-1362,Facebook,Summer Sale,2026-02-18,10727,5572,509,9
P-1363,Instagram,Brand Launch,2026-02-10,20989,11564,522,10
P-1364,Twitter,Brand Launch,2026-01-14,22308,12811,1014,44
P-1365,Facebook,Brand Launch,2026-01-17,2918,1713,140,3
P-1366,LinkedIn,Summer Sale,2026-01-31,11060,7854,486,22
P-1367,Instagram,Summer Sale,2026-01-21,19040,11178,1151,22
P-1368,LinkedIn,Holiday Deal,2026-01-31,6152,4183,345,12
P-1369,LinkedIn,Brand Launch,2026-02-03,2105,1319,63,1
P-1370,LinkedIn,Product Demo,2026-02-22,14289,7976,418,11
P-1371,LinkedIn,Influencer Collab,2026-02-06,15264,11938,706,30
P-1372,Instagram,Product Demo,2026-01-05,15520,11394,330,8
P-1373,Facebook,Influencer Collab,2026-01-16,18516,12293,873,10
P-1374,Twitter,Brand Launch,2026-01-26,13379,9526,353,17
P-1375,Instagram,Brand Launch,2026-03-15,16754,8448,648,23
P-1376,Twitter,Influencer Collab,2026-01-30,19593,12900,408,5
P-1377,LinkedIn,Product Demo,2026-03-11,23920,12029,1344,50
P-1378,Facebook,Influencer Collab,2026-01-08,2429,1405,109,1
P-1379,Instagram,Summer Sale,2026-03-13,8690,5433,338,8
P-1380,LinkedIn,Product Demo,2026-01-29,15224,10574,768,34
P-1381,Instagram,Influencer Collab,2026-03-03,2877,2018,71,1
P-1382,Facebook,Product Demo,2026-02-15,12581,7525,460,19
P-1383,Twitter,Product Demo,2026-02-04,9273,6942,436,18
P-1384,LinkedIn,Holiday Deal,2026-03-15,23741,14028,820,23
P-1385,Twitter,Holiday Deal,2026-03-14,19244,11029,681,33
P-1386,Instagram,Brand Launch,2026-01-20,5853,4264,274,3
P-1387,Twitter,Product Demo,2026-03-01,17596,11857,1384,28
P-1388,LinkedIn,Product Demo,2026-01-05,18043,9247,891,20
P-1389,LinkedIn,Brand Launch,2026-02-13,5328,2666,302,7
P-1390,Twitter,Holiday Deal,2026-01-13,17381,13876,1543,21
P-1391,LinkedIn,Influencer Collab,2026-02-19,8020,5842,451,7
P-1392,Twitter,Product Demo,2026-01-15,18866,10289,394,16
P-1393,LinkedIn,Summer Sale,2026-02-06,10109,6653,321,12
P-1394,LinkedIn,Holiday Deal,2026-02-15,24623,19204,2017,80
P-1395,Instagram,Product Demo,2026-02-10,5230,2842,221,8
P-1396,Instagram,Influencer Collab,2026-01-29,20618,14720,484,8
